week,Austria,Bélgica,Bulgaria,Croacia,Chipre,República Checa,Dinamarca,Estonia,Finlandia,Francia,Alemania,Grecia,Hungría,Irlanda,Italia,Letonia,Lituania,Luxemburgo,Países Bajos,Polonia,Portugal,Rumanía,Eslovaquia,Eslovenia,España,Suecia,Reino Unido
2018-01-01,1205,1349,1043,1305,1224,1193,1547,1237,1456,1408,1378,1534,1155,1389,1555,1187,1160,1180,1576,1127,1510,1109,1305,1289,1243,1495,1355
2018-01-08,1205,1362,1044,1314,1232,1191,1534,1245,1465,1468,1376,1540,1170,1389,1562,1219,1171,1180,1581,1130,1523,1139,1304,1291,1249,1501,1363
2018-01-15,1207,1366,1044,1308,1233,1197,1533,1313,1475,1475,1352,1544,1176,1399,1567,1225,1166,1197,1600,1136,1534,1151,1318,1301,1254,1503,1358
2018-01-22,1205,1351,1044,1315,1231,1206,1534,1309,1445,1476,1356,1549,1183,1399,1571,1230,1175,1197,1590,1133,1517,1145,1330,1304,1255,1504,1379
2018-01-29,1209,1363,1048,1316,1231,1214,1548,1333,1461,1478,1371,1550,1184,1389,1573,1230,1171,1197,1602,1133,1517,1153,1329,1308,1256,1521,1384
2018-02-05,1210,1369,1056,1325,1236,1220,1534,1331,1458,1479,1371,1549,1189,1389,1573,1233,1173,1197,1594,1125,1516,1155,1341,1311,1257,1513,1374
2018-02-12,1198,1363,1059,1310,1238,1212,1520,1306,1456,1477,1355,1550,1170,1389,1570,1231,1172,1172,1572,1114,1505,1132,1324,1319,1248,1466,1372
2018-02-19,1195,1330,1049,1289,1231,1206,1497,1278,1452,1461,1339,1550,1138,1389,1553,1229,1160,1145,1548,1112,1486,1111,1294,1309,1228,1438,1360
2018-02-26,1181,1374,1045,1265,1229,1199,1497,1282,1449,1454,1340,1550,1126,1379,1547,1231,1162,1145,1554,1109,1466,1112,1292,1301,1224,1440,1361
2018-03-05,1180,1334,1042,1279,1222,1197,1497,1281,1458,1457,1340,1528,1144,1389,1549,1237,1157,1162,1555,1098,1463,1118,1309,1289,1227,1422,1339
